config,bucket_id,parent,dimension,child_value,atlas_metric,atlas_2023_estimate,atlas_2023_p,val_n,val_mean_score,val_parent_mean_score,val_pop_mean_score,val_fav2_pct,val_fav3_pct,val_win_pct,val_parent_fav2_pct,val_parent_win_pct,val_f5_pct
L2_depth2,B01,S|L|L|L,b_sd_cur_mfe_5m_A,>=2,is_win,0.09290307002683307,0.005432960412180212,33,0.3749476295204317,0.3693971548048594,0.37331298248747036,42.42424242424242,33.33333333333333,36.36363636363637,33.980582524271846,28.640776699029125,42.42424242424242
L2_depth2,B02,S|L|L|L,b_sd_cur_mfe_15m_A,>=2,is_win,0.09890127490550327,0.005837820950991797,29,0.3825296602410078,0.3693971548048594,0.37331298248747036,41.37931034482759,27.586206896551722,34.48275862068966,33.980582524271846,28.640776699029125,37.93103448275862
L2_depth2,B03,S|L|S|S,b_pos_15m,"[0.60,0.80)",is_win,0.11854991634132739,0.0060614894359353015,49,0.38249607576790423,0.38566192533973515,0.37331298248747036,36.734693877551024,22.448979591836736,30.612244897959183,29.166666666666668,27.500000000000004,38.775510204081634
L2_depth2,B04,L|S|L|L,b_sd_cur_mfe_5m_A,"[1,2)",is_win,0.0996492116302618,0.01590335585727888,42,0.38834746928151603,0.38540705986981005,0.37331298248747036,26.190476190476193,19.047619047619047,33.33333333333333,28.915662650602407,33.734939759036145,39.473684210526315
L2_depth2,B05,S|S|S|S,b_pos_5m,"[0.80,1.00]",is_win,0.08646104298278212,0.0192121071126447,99,0.374619975471681,0.37239535246019595,0.37331298248747036,49.494949494949495,33.33333333333333,41.41414141414141,44.370860927152314,37.74834437086093,0.0
L2_depth2,B06,S|L|L|L,b_pos_1h,"[0.60,0.80)",is_win,0.06089569903554937,0.040353649293297184,55,0.36854765151103647,0.3693971548048594,0.37331298248747036,47.27272727272727,34.54545454545455,40.0,33.980582524271846,28.640776699029125,37.03703703703704
L2_depth2,B07,S|S|S|S,b_sd_pri_end_5m_A,>=2,is_win,0.07798598287728725,0.04267990845170249,97,0.37264011980546446,0.37239535246019595,0.37331298248747036,48.45360824742268,35.051546391752574,41.23711340206185,44.370860927152314,37.74834437086093,0.0
L2_depth2,B08,S|S|S|S,b_sd_cur_mae_5m_A,>=2,is_win,0.08102715922255116,0.045744456944343745,119,0.37319333308519426,0.37239535246019595,0.37331298248747036,47.89915966386555,32.773109243697476,42.016806722689076,44.370860927152314,37.74834437086093,0.0
L2_depth2,B09,S|L|L|S,b_sd_pri_start_15m_B,>=2,is_win,0.08357249454712434,0.047392416725875304,77,0.37907157926614193,0.37200603784567565,0.37331298248747036,36.36363636363637,23.376623376623375,32.467532467532465,37.83783783783784,34.234234234234236,30.263157894736842
L2_depth2,B10,S|S|S|S,b_sd_pri_mae_5m_B,>=2,reach_fav_2p00,0.09776297814207652,0.008892257352681314,98,0.3764858432683946,0.37239535246019595,0.37331298248747036,50.0,36.734693877551024,44.89795918367347,44.370860927152314,37.74834437086093,0.0
L2_depth2,B11,S|S|S|S,b_sd_cur_start_5m_A,>=2,reach_fav_2p00,0.10307215774186163,0.012864390757774891,117,0.3730899936493952,0.37239535246019595,0.37331298248747036,47.863247863247864,33.33333333333333,41.88034188034188,44.370860927152314,37.74834437086093,0.0
L2_depth2,B12,L|S|S|S,b_sd_cur_mfe_1h_B,>=2,reach_fav_2p00,0.08674242424242423,0.025941537934954927,176,0.36558260208503374,0.3658777904878579,0.37331298248747036,35.22727272727273,22.15909090909091,34.090909090909086,36.03603603603604,35.585585585585584,36.68639053254438
L2_depth2,B13,L|S|S|S,b_sd_pri_mae_1h_B,<-2,reach_fav_2p00,0.06603016466030165,0.052304406079409664,112,0.3688077964387061,0.3658777904878579,0.37331298248747036,40.17857142857143,24.107142857142858,40.17857142857143,36.03603603603604,35.585585585585584,35.18518518518518
L2_depth2,B14,S|L|S|S,b_sd_cur_mfe_5m_A,"[1,2)",reach_fav_2p00,0.09169960474308303,0.05285909745885396,49,0.3885619303842892,0.38566192533973515,0.37331298248747036,44.89795918367347,24.489795918367346,44.89795918367347,29.166666666666668,27.500000000000004,43.75
L3_depth3,B00,,mtf_state,L|S|S|S,is_win,0.05076191244582717,0.002884051976196381,222,0.36721623537624903,0.37470773118851214,0.37470773118851214,36.03603603603604,22.52252252252252,35.585585585585584,36.327345309381236,33.20026613439787,32.242990654205606
L3_depth3,B01,S|L|L|L,b_sd_cur_mfe_5m_A,>=2,is_win,0.09290307002683307,0.005432960412180212,33,0.38287959226853047,0.37315125691740936,0.37470773118851214,42.42424242424242,33.33333333333333,36.36363636363637,33.980582524271846,28.640776699029125,42.42424242424242
L3_depth3,B02,S|L|L|L,b_sd_cur_mfe_15m_A,>=2,is_win,0.09890127490550327,0.005837820950991797,29,0.38816592284245177,0.37315125691740936,0.37470773118851214,41.37931034482759,27.586206896551722,34.48275862068966,33.980582524271846,28.640776699029125,37.93103448275862
L3_depth3,B03,S|L|S|S,b_pos_15m,"[0.60,0.80)",is_win,0.11854991634132739,0.0060614894359353015,49,0.3755921289961719,0.3781050027624483,0.37470773118851214,36.734693877551024,22.448979591836736,30.612244897959183,29.166666666666668,27.500000000000004,38.775510204081634
L3_depth3,B04,L|S|L|L,b_sd_cur_mfe_5m_A,"[1,2)",is_win,0.0996492116302618,0.01590335585727888,42,0.39347451214003937,0.3899123922637859,0.37470773118851214,26.190476190476193,19.047619047619047,33.33333333333333,28.915662650602407,33.734939759036145,39.473684210526315
L3_depth3,B05,S|S|S|S,b_pos_5m,"[0.80,1.00]",is_win,0.08646104298278212,0.0192121071126447,99,0.3776221550059321,0.3744032531905011,0.37470773118851214,49.494949494949495,33.33333333333333,41.41414141414141,44.370860927152314,37.74834437086093,0.0
L3_depth3,B06,S|L|L|L,b_pos_1h,"[0.60,0.80)",is_win,0.06089569903554937,0.040353649293297184,55,0.3716757735110605,0.37315125691740936,0.37470773118851214,47.27272727272727,34.54545454545455,40.0,33.980582524271846,28.640776699029125,37.03703703703704
L3_depth3,B07,S|S|S|S,b_sd_pri_end_5m_A,>=2,is_win,0.07798598287728725,0.04267990845170249,97,0.3769700999831208,0.3744032531905011,0.37470773118851214,48.45360824742268,35.051546391752574,41.23711340206185,44.370860927152314,37.74834437086093,0.0
L3_depth3,B08,S|S|S|S,b_sd_cur_mae_5m_A,>=2,is_win,0.08102715922255116,0.045744456944343745,119,0.3778029911345431,0.3744032531905011,0.37470773118851214,47.89915966386555,32.773109243697476,42.016806722689076,44.370860927152314,37.74834437086093,0.0
L3_depth3,B09,S|L|L|S,b_sd_pri_start_15m_B,>=2,is_win,0.08357249454712434,0.047392416725875304,77,0.37974999606972415,0.3706726259914839,0.37470773118851214,36.36363636363637,23.376623376623375,32.467532467532465,37.83783783783784,34.234234234234236,30.263157894736842
L3_depth3,B10,S|S|S|S,b_sd_pri_mae_5m_B,>=2,reach_fav_2p00,0.09776297814207652,0.008892257352681314,98,0.380917878267129,0.3744032531905011,0.37470773118851214,50.0,36.734693877551024,44.89795918367347,44.370860927152314,37.74834437086093,0.0
L3_depth3,B11,S|S|S|S,b_sd_cur_start_5m_A,>=2,reach_fav_2p00,0.10307215774186163,0.012864390757774891,117,0.3776558964311641,0.3744032531905011,0.37470773118851214,47.863247863247864,33.33333333333333,41.88034188034188,44.370860927152314,37.74834437086093,0.0
L3_depth3,B12,L|S|S|S,b_sd_cur_mfe_1h_B,>=2,reach_fav_2p00,0.08674242424242423,0.025941537934954927,176,0.3673159526491238,0.36721623537624903,0.37470773118851214,35.22727272727273,22.15909090909091,34.090909090909086,36.03603603603604,35.585585585585584,36.68639053254438
L3_depth3,B13,L|S|S|S,b_sd_pri_mae_1h_B,<-2,reach_fav_2p00,0.06603016466030165,0.052304406079409664,112,0.3743196592939709,0.36721623537624903,0.37470773118851214,40.17857142857143,24.107142857142858,40.17857142857143,36.03603603603604,35.585585585585584,35.18518518518518
L3_depth3,B14,S|L|S|S,b_sd_cur_mfe_5m_A,"[1,2)",reach_fav_2p00,0.09169960474308303,0.05285909745885396,49,0.3824644077156849,0.3781050027624483,0.37470773118851214,44.89795918367347,24.489795918367346,44.89795918367347,29.166666666666668,27.500000000000004,43.75
