==================================================
CONDITIONAL PATH PREDICTABILITY STUDY FULL DETAILS
==================================================

Cohort: ALL | K=5m | H=2m | N=43985 | Slope=-0.007455 | 95% CI=[-0.016836, +0.002051]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22201  |      +0.007509 |  49.74% | $    -8.90 | $   -18.90
  0-0.25       | 3501   |      -0.006708 |  48.81% | $   -11.05 | $   -21.05
  0.25-0.5     | 3074   |      +0.011863 |  48.41% | $    -9.10 | $   -19.10
  0.5-1.0      | 5371   |      +0.013431 |  48.97% | $    -7.12 | $   -17.12
   >=1.0       | 9838   |      -0.022296 |  47.18% | $   -12.89 | $   -22.89

Cohort: ALL | K=5m | H=5m | N=43985 | Slope=+0.005758 | 95% CI=[-0.007408, +0.019860]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22201  |      +0.009101 |  49.75% | $    -9.30 | $   -19.30
  0-0.25       | 3501   |      +0.010012 |  50.30% | $    -6.33 | $   -16.33
  0.25-0.5     | 3074   |      +0.027223 |  49.09% | $    -4.58 | $   -14.58
  0.5-1.0      | 5371   |      +0.016522 |  49.25% | $    -5.94 | $   -15.94
   >=1.0       | 9838   |      +0.002062 |  48.20% | $   -10.84 | $   -20.84

Cohort: ALL | K=5m | H=15m | N=43985 | Slope=-0.007033 | 95% CI=[-0.030855, +0.017371]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22201  |      +0.033826 |  49.75% | $    -6.91 | $   -16.91
  0-0.25       | 3501   |      +0.017223 |  49.27% | $    -5.97 | $   -15.97
  0.25-0.5     | 3074   |      +0.047018 |  51.14% | $    -3.89 | $   -13.89
  0.5-1.0      | 5371   |      -0.000686 |  50.47% | $   -14.87 | $   -24.87
   >=1.0       | 9838   |      -0.014647 |  48.74% | $   -11.93 | $   -21.93

Cohort: ALL | K=5m | H=30m | N=43985 | Slope=+0.001859 | 95% CI=[-0.031511, +0.038237]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22201  |      +0.060862 |  50.54% | $    -6.09 | $   -16.09
  0-0.25       | 3501   |      -0.021512 |  49.13% | $   -13.33 | $   -23.33
  0.25-0.5     | 3074   |      +0.014841 |  50.10% | $    -1.01 | $   -11.01
  0.5-1.0      | 5371   |      -0.039887 |  50.66% | $   -21.72 | $   -31.72
   >=1.0       | 9838   |      -0.000416 |  49.38% | $   -13.54 | $   -23.54

Cohort: ALL | K=10m | H=2m | N=43985 | Slope=+0.005319 | 95% CI=[-0.006245, +0.019060]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 21833  |      +0.006110 |  49.06% | $   -10.02 | $   -20.02
  0-0.25       | 2637   |      +0.020722 |  49.45% | $    -9.57 | $   -19.57
  0.25-0.5     | 2263   |      +0.022403 |  48.70% | $    +1.35 | $    -8.65
  0.5-1.0      | 4273   |      +0.008653 |  48.58% | $    -8.64 | $   -18.64
   >=1.0       | 12979  |      +0.002531 |  47.65% | $   -10.93 | $   -20.93

Cohort: ALL | K=10m | H=5m | N=43985 | Slope=+0.000454 | 95% CI=[-0.013461, +0.014976]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 21833  |      +0.014034 |  49.76% | $   -10.60 | $   -20.60
  0-0.25       | 2637   |      +0.013486 |  49.72% | $   -15.02 | $   -25.02
  0.25-0.5     | 2263   |      +0.050511 |  49.09% | $    +4.58 | $    -5.42
  0.5-1.0      | 4273   |      +0.019428 |  49.24% | $    -8.79 | $   -18.79
   >=1.0       | 12979  |      -0.000329 |  47.56% | $   -11.15 | $   -21.15

Cohort: ALL | K=10m | H=15m | N=43985 | Slope=+0.003373 | 95% CI=[-0.016633, +0.023173]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 21833  |      +0.022411 |  49.94% | $    -9.11 | $   -19.11
  0-0.25       | 2637   |      -0.015261 |  49.22% | $   -15.36 | $   -25.36
  0.25-0.5     | 2263   |      -0.052583 |  49.27% | $    -9.14 | $   -19.14
  0.5-1.0      | 4273   |      +0.035428 |  49.47% | $   -10.70 | $   -20.70
   >=1.0       | 12979  |      +0.025912 |  49.26% | $    -5.69 | $   -15.69

Cohort: ALL | K=10m | H=30m | N=43985 | Slope=+0.012937 | 95% CI=[-0.016676, +0.045772]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 21833  |      +0.035688 |  49.97% | $    -6.74 | $   -16.74
  0-0.25       | 2637   |      -0.065525 |  48.77% | $   -13.73 | $   -23.73
  0.25-0.5     | 2263   |      -0.156891 |  49.76% | $   -18.28 | $   -28.28
  0.5-1.0      | 4273   |      +0.056471 |  50.41% | $   -16.06 | $   -26.06
   >=1.0       | 12979  |      +0.035819 |  49.18% | $    -8.70 | $   -18.70

Cohort: LONG | K=1m | H=2m | N=22356 | Slope=-0.034720 | 95% CI=[-0.084561, +0.000781]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11230  |      +0.008449 |  50.59% | $    -8.65 | $   -18.65
  0-0.25       | 3717   |      -0.006453 |  48.40% | $   -11.93 | $   -21.93
  0.25-0.5     | 2954   |      -0.029745 |  46.82% | $   -17.03 | $   -27.03
  0.5-1.0      | 3179   |      -0.004969 |  48.69% | $    -7.73 | $   -17.73
   >=1.0       | 1276   |      +0.016305 |  47.34% | $   -12.15 | $   -22.15

Cohort: LONG | K=1m | H=5m | N=22356 | Slope=-0.033627 | 95% CI=[-0.084741, +0.011982]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11230  |      +0.014331 |  50.96% | $    -9.46 | $   -19.46
  0-0.25       | 3717   |      -0.019602 |  49.21% | $   -13.01 | $   -23.01
  0.25-0.5     | 2954   |      -0.004912 |  49.63% | $   -13.02 | $   -23.02
  0.5-1.0      | 3179   |      +0.004223 |  48.98% | $    -1.33 | $   -11.33
   >=1.0       | 1276   |      +0.038544 |  46.55% | $    -5.04 | $   -15.04

Cohort: LONG | K=1m | H=15m | N=22356 | Slope=-0.063598 | 95% CI=[-0.130283, +0.003347]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11230  |      +0.051541 |  52.07% | $    -2.24 | $   -12.24
  0-0.25       | 3717   |      +0.024577 |  52.38% | $    -4.71 | $   -14.71
  0.25-0.5     | 2954   |      +0.031812 |  51.59% | $    -6.92 | $   -16.92
  0.5-1.0      | 3179   |      -0.037270 |  51.09% | $   -11.73 | $   -21.73
   >=1.0       | 1276   |      +0.093325 |  48.98% | $    +3.58 | $    -6.42

Cohort: LONG | K=1m | H=30m | N=22356 | Slope=-0.093621 | 95% CI=[-0.195716, +0.002231]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11230  |      +0.073216 |  52.39% | $    -1.48 | $   -11.48
  0-0.25       | 3717   |      +0.052993 |  51.39% | $    -4.31 | $   -14.31
  0.25-0.5     | 2954   |      +0.040748 |  51.52% | $    -8.58 | $   -18.58
  0.5-1.0      | 3179   |      -0.062260 |  51.24% | $   -22.35 | $   -32.35
   >=1.0       | 1276   |      +0.008781 |  50.78% | $    -9.38 | $   -19.38

Cohort: LONG | K=2m | H=2m | N=22356 | Slope=-0.009395 | 95% CI=[-0.032989, +0.011968]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11166  |      +0.009009 |  50.92% | $    -7.95 | $   -17.95
  0-0.25       | 2922   |      -0.019242 |  48.94% | $   -14.53 | $   -24.53
  0.25-0.5     | 2353   |      +0.032830 |  49.64% | $    -1.72 | $   -11.72
  0.5-1.0      | 3312   |      -0.018076 |  47.77% | $   -14.41 | $   -24.41
   >=1.0       | 2603   |      +0.006046 |  48.37% | $    -7.65 | $   -17.65

Cohort: LONG | K=2m | H=5m | N=22356 | Slope=-0.015621 | 95% CI=[-0.045329, +0.016829]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11166  |      +0.007344 |  50.75% | $    -8.32 | $   -18.32
  0-0.25       | 2922   |      -0.005159 |  49.45% | $    -9.32 | $   -19.32
  0.25-0.5     | 2353   |      +0.037936 |  50.11% | $    -4.74 | $   -14.74
  0.5-1.0      | 3312   |      +0.004478 |  49.64% | $    -8.38 | $   -18.38
   >=1.0       | 2603   |      +0.006187 |  48.56% | $    -4.51 | $   -14.51

Cohort: LONG | K=2m | H=15m | N=22356 | Slope=-0.036767 | 95% CI=[-0.089901, +0.017069]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11166  |      +0.048481 |  51.48% | $    +0.73 | $    -9.27
  0-0.25       | 2922   |      +0.052088 |  51.57% | $    -2.59 | $   -12.59
  0.25-0.5     | 2353   |      +0.002086 |  50.70% | $   -10.43 | $   -20.43
  0.5-1.0      | 3312   |      +0.016191 |  52.02% | $    -6.60 | $   -16.60
   >=1.0       | 2603   |      +0.005490 |  50.98% | $    -9.69 | $   -19.69

Cohort: LONG | K=2m | H=30m | N=22356 | Slope=-0.098189 | 95% CI=[-0.185710, -0.020722]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 11166  |      +0.127499 |  52.79% | $    +6.70 | $    -3.30
  0-0.25       | 2922   |      +0.052389 |  51.30% | $    -7.34 | $   -17.34
  0.25-0.5     | 2353   |      -0.152260 |  50.62% | $   -26.93 | $   -36.93
  0.5-1.0      | 3312   |      +0.009290 |  52.63% | $    -6.81 | $   -16.81
   >=1.0       | 2603   |      -0.057118 |  50.25% | $   -23.27 | $   -33.27

Cohort: LONG | K=3m | H=2m | N=22356 | Slope=+0.007180 | 95% CI=[-0.010625, +0.026690]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10993  |      +0.005278 |  49.38% | $    -9.31 | $   -19.31
  0-0.25       | 2488   |      +0.015144 |  48.87% | $    -6.01 | $   -16.01
  0.25-0.5     | 2040   |      -0.002509 |  49.51% | $   -11.05 | $   -21.05
  0.5-1.0      | 3255   |      -0.011931 |  48.73% | $   -11.53 | $   -21.53
   >=1.0       | 3580   |      +0.013022 |  47.43% | $    -8.91 | $   -18.91

Cohort: LONG | K=3m | H=5m | N=22356 | Slope=-0.000776 | 95% CI=[-0.034588, +0.031288]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10993  |      +0.025028 |  50.42% | $    -6.65 | $   -16.65
  0-0.25       | 2488   |      +0.015793 |  50.08% | $    -6.77 | $   -16.77
  0.25-0.5     | 2040   |      -0.056262 |  48.77% | $   -15.66 | $   -25.66
  0.5-1.0      | 3255   |      +0.008934 |  49.92% | $    -5.54 | $   -15.54
   >=1.0       | 3580   |      +0.020551 |  48.49% | $    -9.52 | $   -19.52

Cohort: LONG | K=3m | H=15m | N=22356 | Slope=-0.011249 | 95% CI=[-0.053648, +0.036694]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10993  |      +0.046460 |  51.80% | $    +0.11 | $    -9.89
  0-0.25       | 2488   |      +0.012236 |  51.65% | $   -10.37 | $   -20.37
  0.25-0.5     | 2040   |      -0.027602 |  51.18% | $   -16.99 | $   -26.99
