regime_start_ns,session,anchor,dir,t_touch,time_to_anchor_s,mfe_through,cur,pullback_from_mfe,mae_before,adv1_before,ret15,ret30,ret60,path_eff,n_cross,rv60,accel,fav_share,tod_min,time_to_close_s,trig_rel_entry,dist_to_trig,trig_move60,engine_regime_ok,fixed_outcome,fixed_eligible,term_reach2,win,null_p_fixed,null_fixed_resolved,null_p_term_reach2,null_p_giveback_given_reach2,null_p_term_win,null_sim_unflipped,null_decided_by_touch_bar,block
1685716140000000000,2023-06-02,0.25,1,1685716189000000000,34.0,0.2705116915237762,0.2705116915237762,0.0,0.12729961954060057,0,0.33416150129407646,0.3182490488515014,0.2705116915237762,0.1588785046728972,5,0.40600147650214996,0.35537810455084323,0.68,59,23411.0,-1.241950925109507,1.5124626166332833,0.6244501477431317,1,0.0,1,1,1,0.453125,64,0.5,0.21875,0.40625,0,0,discovery
1685716140000000000,2023-06-02,0.5,1,1685716225000000000,70.0,0.5251109306049773,0.4296362159495269,0.09547471465545038,0.3659864061792266,0,0.20686188175347592,0.33416150129407646,0.41372376350695184,0.11203319502074688,11,0.6125777530538878,0.13790792116898393,0.5892857142857143,60,23375.0,-1.0190206639956563,1.448656879945183,0.22293026111385084,1,0.0,1,1,1,0.515625,64,0.578125,0.24324324324324326,0.4375,0,0,discovery
1685716140000000000,2023-06-02,0.75,1,1685716681000000000,526.0,0.7797101696861785,0.5728482879327025,0.20686188175347597,1.1775214807505552,1,0.11138716709802549,0.12729961954060054,0.17503697686832576,0.01888772298006296,23,0.5473050948585472,0.09017056384125872,0.3983739837398374,68,22919.0,-0.5386246411682374,1.1114729291009398,0.15056861273477917,1,,0,1,1,0.484375,64,0.484375,0.22580645161290322,0.375,0,0,discovery
1685716140000000000,2023-06-02,1.0,1,1685716779000000000,624.0,1.0024845038822294,0.9706595989970792,0.03182490488515022,1.1775214807505552,1,0.20686188175347586,0.42963621594952683,0.6524105501455778,0.027968821641448875,23,0.48133524762326535,0.05834565895610855,0.45985401459854014,69,22821.0,-0.43408220342301235,1.4047418024200915,0.10454243774522504,1,,0,1,1,0.625,64,0.5625,0.16666666666666666,0.515625,0,0,discovery
1685716140000000000,2023-06-02,1.25,1,1685716781000000000,626.0,1.2729961954060056,1.145696575865405,0.12729961954060065,1.1775214807505552,1,0.5410233830475524,0.7160603599158781,1.0024845038822294,0.03284671532846715,23,0.47710829202682564,0.3872030094359934,0.5194805194805195,69,22819.0,-0.43408220342301235,1.5797787792884173,0.10454243774522504,1,,0,1,1,0.75,64,0.6875,0.25,0.546875,0,0,discovery
1685716140000000000,2023-06-02,1.5,1,1685716801000000000,646.0,1.5275954344872067,1.4957705296020565,0.03182490488515022,1.1775214807505552,1,0.3023365964089262,0.7797101696861783,1.2729961954060056,0.041777777777777775,23,0.5047032589488962,-0.02121660325676694,0.5647058823529412,70,22799.0,-0.31544085785323656,1.811211387455293,0.11864134556977579,1,,0,1,1,0.78125,64,0.71875,0.15217391304347827,0.609375,0,0,discovery
1685716140000000000,2023-06-02,2.0,1,1685716984000000000,829.0,2.052706365092184,1.9731441028793086,0.07956226221287555,1.1775214807505552,1,0.3500739537366515,0.4137237635069517,0.23868678663862597,0.0446685878962536,23,0.4254907661243749,0.38720300943599334,0.6354679802955666,73,22616.0,0.3665331026336105,1.6066110002456981,0.25844067807827786,1,,0,1,1,1.0,64,1.0,0.0625,0.9375,0,0,discovery
1685718840000000000,2023-06-02,0.25,-1,1685718861000000000,6.0,0.4049015634664424,0.30963060735669123,0.09527095610975117,0.09527095610975116,0,0.30963060735669123,0.30963060735669123,0.30963060735669123,0.52,1,0.30779302075796855,0.30963060735669123,0.8095238095238095,104,20739.0,-1.2822033584648356,1.5918339658215268,0.1408575908659786,1,0.0,1,0,0,0.515625,64,0.578125,0.2702702702702703,0.421875,0,0,discovery
1685718840000000000,2023-06-02,0.5,-1,1685718865000000000,10.0,0.5001725195761936,0.4763547805487558,0.02381773902743778,0.09527095610975116,0,0.4763547805487558,0.4763547805487558,0.4763547805487558,0.625,1,0.3265723842692107,0.4763547805487558,0.8400000000000001,104,20735.0,-1.2822033584648356,1.7585581390135914,0.1408575908659786,1,0.0,1,0,0,0.46875,64,0.515625,0.3333333333333333,0.34375,0,0,discovery
1685718840000000000,2023-06-02,0.75,-1,1685718895000000000,40.0,0.785985387905447,0.7621676488780093,0.02381773902743778,0.09527095610975116,0,0.5001725195761936,0.28581286832925346,0.7621676488780093,0.2857142857142857,1,0.5656399619031801,0.4128408098089217,0.8918918918918919,104,20705.0,-1.2822033584648356,2.044371007342845,0.1408575908659786,1,0.0,1,0,0,0.671875,64,0.625,0.225,0.484375,0,0,discovery
1685719320000000000,2023-06-02,0.25,1,1685719343000000000,8.0,0.2686171266577896,0.21977764908364603,0.04883947757414356,0.048839477574143565,0,0.21977764908364603,0.21977764908364603,0.21977764908364603,0.6923076923076923,0,0.17093817150950247,0.21977764908364603,0.846153846153846,112,20257.0,-0.955414741452799,1.175192390536445,0.17398310026650188,1,0.0,1,0,0,0.453125,64,0.515625,0.09090909090909091,0.46875,0,0,discovery
1685719320000000000,2023-06-02,0.5,1,1685719379000000000,44.0,0.561653992102651,0.3662960818060767,0.1953579102965743,0.048839477574143565,0,0.07325921636121535,0.2441973878707178,0.3662960818060767,0.2112676056338028,0,0.34448280776162804,-0.024419738787071765,0.92,112,20221.0,-0.955414741452799,1.3217108232588757,0.17398310026650188,1,0.0,1,0,0,0.421875,64,0.421875,0.2962962962962963,0.296875,0,0,discovery
1685719320000000000,2023-06-02,0.75,1,1685719388000000000,53.0,0.8058513799733688,0.781431641186297,0.02441973878707171,0.048839477574143565,0,0.4883947757414357,0.7081724248250817,0.781431641186297,0.3137254901960785,0,0.4516001391836098,0.3907158205931486,0.9428571428571428,113,20212.0,-0.7442752375894063,1.5257068787757033,0.21113950386339275,1,0.0,1,0,0,0.625,64,0.578125,0.35135135135135137,0.375,0,0,discovery
1685719320000000000,2023-06-02,1.0,1,1685719396000000000,61.0,1.025629029057015,1.025629029057015,0.0,0.048839477574143565,0,0.5372342533155793,0.8546908575475125,1.025629029057015,0.35000000000000003,0,0.4956665619957362,0.3744359947351007,0.9545454545454545,113,20204.0,-0.7442752375894063,1.7699042666464213,0.21113950386339275,1,0.0,1,0,0,0.59375,64,0.546875,0.17142857142857143,0.484375,0,0,discovery
1685719320000000000,2023-06-02,1.25,1,1685719692000000000,357.0,1.343085633288948,1.220986939353589,0.12209869393535899,0.19535791029657426,0,0.09767895514828706,0.24419738787071776,0.6349132084638663,0.06793478260869565,16,0.4568514800786863,-0.08139912929023937,0.873015873015873,118,19908.0,-0.2244420906201949,1.445429029973784,0.10495000022941439,1,0.0,1,0,0,0.625,64,0.546875,0.3142857142857143,0.453125,0,0,discovery
1685720100000000000,2023-06-02,0.25,-1,1685720137000000000,22.0,0.2561438437859956,0.23052945940739603,0.02561438437859956,0.3073726125431947,0,0.3586013813003938,0.23052945940739603,0.23052945940739603,0.16981132075471697,3,0.3959887728403675,0.4012920219313931,0.4545454545454545,125,19463.0,-1.5399379019416208,1.770467361349017,0.2079899142546302,1,0.0,1,0,0,0.359375,64,0.46875,0.13333333333333333,0.421875,0,0,discovery
1685720100000000000,2023-06-02,0.5,-1,1685720155000000000,40.0,0.5122876875719912,0.46105891881479205,0.05122876875719912,0.3073726125431947,0,0.40983015005759293,0.6915883782221881,0.46105891881479205,0.1764705882352941,7,0.5433631467007956,0.3927538938051932,0.625,125,19445.0,-1.5399379019416208,2.000996820756413,0.2079899142546302,1,0.0,1,0,0,0.453125,64,0.5,0.25,0.375,0,0,discovery
1685720100000000000,2023-06-02,0.75,-1,1685720347000000000,232.0,0.7684315313579867,0.6915883782221881,0.07684315313579859,0.33298699692179423,0,0.0768431531357987,0.48667330319339164,0.8196603001151859,0.049180327868852465,21,0.5693081445269818,-0.17076256252399702,0.6976744186046511,129,19253.0,-0.7948840927699247,1.4864724709921129,0.1154742739618928,1,0.0,1,0,0,0.5,64,0.46875,0.1,0.4375,0,0,discovery
1685720880000000000,2023-06-02,0.25,-1,1685721010000000000,115.0,0.43091157380486395,0.323183680353648,0.10772789345121597,0.8348911742469239,0,0.45784354716766795,0.7271632807957079,0.48477552053047196,0.047619047619047616,1,0.520839576804921,0.44886622271339993,0.3404255319148936,140,18590.0,-1.1811108897162113,1.5042945700698591,0.16061785561498398,1,0.0,1,0,0,0.53125,64,0.53125,0.08823529411764706,0.484375,0,0,discovery
1685720880000000000,2023-06-02,0.5,-1,1685721011000000000,116.0,0.5386394672560799,0.5386394672560799,0.0,0.8348911742469239,0,0.646367360707296,0.888755120972532,0.7271632807957079,0.07692307692307693,1,0.5630006480341392,0.619435387344492,0.39215686274509803,140,18589.0,-1.1811108897162113,1.7197503569722912,0.16061785561498398,1,0.0,1,0,0,0.453125,64,0.46875,0.16666666666666666,0.40625,0,0,discovery
1685720880000000000,2023-06-02,0.75,-1,1685721020000000000,125.0,0.8348911742469239,0.8348911742469239,0.0,0.8348911742469239,0,0.80795920088412,1.1042109078749638,1.131142881237768,0.10877192982456141,1,0.6293098039211467,0.700231307432904,0.5,140,18580.0,-1.1811108897162113,2.016002063963135,0.16061785561498398,1,0.0,1,0,0,0.625,64,0.59375,0.15789473684210525,0.546875,0,0,discovery
1685720880000000000,2023-06-02,1.0,-1,1685721028000000000,133.0,1.1311428812377677,1.0772789345121598,0.0538639467256079,0.8348911742469239,0,0.5386394672560799,1.2388707746889838,1.5081905083170237,0.130718954248366,1,0.6474885538495219,0.215455786902432,0.5753424657534246,140,18572.0,-1.1811108897162113,2.258389824228371,0.16061785561498398,1,0.0,1,0,0,0.828125,64,0.765625,0.12244897959183673,0.671875,0,0,discovery
1685720880000000000,2023-06-02,1.25,-1,1685721039000000000,144.0,1.4273945882286119,1.3735306415030037,0.053863946725608125,0.8348911742469239,0,0.6463673607072958,1.2119388013261798,1.7775102419450637,0.14868804664723032,1,0.6950327848505033,0.2693197336280399,0.6309523809523809,140,18561.0,-1.1811108897162113,2.554641531219215,0.16061785561498398,1,0.0,1,0,0,0.796875,64,0.78125,0.26,0.578125,0,0,discovery
1685720880000000000,2023-06-02,1.5,-1,1685721111000000000,216.0,1.535122481679828,1.5081905083170237,0.026931973362804174,0.8348911742469239,0,0.40397960044205994,0.5925034139816878,0.1077278934512158,0.11522633744855967,1,0.5973800675396475,0.502730169439008,0.6477272727272727,141,18489.0,-0.9772070798084123,2.485397588125436,0.203903809907799,1,0.0,1,0,0,0.921875,64,0.859375,0.12727272727272726,0.75,0,0,discovery
1685721300000000000,2023-06-02,0.25,1,1685721317000000000,2.0,0.35009831879862613,0.35009831879862613,0.0,0.0,0,0.35009831879862613,0.35009831879862613,0.35009831879862613,1.0,0,0.24828823189134092,0.35009831879862613,1.0,145,18283.0,-0.9586262986248879,1.308724617423514,0.39308286056556874,1,0.0,1,0,1,0.515625,64,0.484375,0.06451612903225806,0.453125,0,0,discovery
1685721300000000000,2023-06-02,0.5,1,1685721330000000000,15.0,0.5924740779669058,0.5924740779669058,0.0,0.0,0,0.5924740779669058,0.5924740779669058,0.5924740779669058,0.611111111111111,0,0.32316767889103953,0.5924740779669058,1.0,145,18270.0,-0.9586262986248879,1.5511003765917937,0.39308286056556874,1,0.0,1,0,1,0.609375,64,0.578125,0.02702702702702703,0.578125,0,0,discovery
