anchor,block,A_N,A_actual,A_N1,A_N1c,A_N2,A_censored_or_ambiguous,A_excluded_adv1_before,A_resid_N1,A_resid_N1_lo,A_resid_N1_hi,A_resid_N1c,A_resid_N1c_lo,A_resid_N1c_hi,A_resid_null_p_fixed,A_resid_null_p_fixed_lo,A_resid_null_p_fixed_hi,B_N,B_actual,B_N3,B_resid_N3,B_resid_N3_lo,B_resid_N3_hi,G_N,G_actual,G_N3,G_resid_N3,G_resid_N3_lo,G_resid_N3_hi
1.0,replication,704.0,0.6605113636363636,0.6666666666666667,0.6709408112636462,0.6752485795454546,9.0,156.0,-0.006155303030302973,-0.040481979764437105,0.028131756444608767,-0.01042944762728252,-0.044279961126202014,0.023727069207181532,-0.01473721590909091,-0.04965937726163795,0.020598350775040648,869.0,0.6283084004602992,0.6508378883774454,-0.022529487917146145,-0.05235486568611347,0.005894945038553329,546.0,0.15567765567765568,0.172392602169052,-0.019819072757287292,-0.047309876397951076,0.008528322723284701
1.0,pooled,2833.0,0.6689022237910343,0.6666666666666667,0.6723752652932695,0.6731819639845584,34.0,661.0,0.0022355571243676316,-0.015138278153061624,0.019338390199905534,-0.0034730415022352873,-0.020861116835446464,0.013881446171106926,-0.004279740193524168,-0.022392826578576167,0.01279903648837023,3528.0,0.6292517006802721,0.6512763959750567,-0.02202469529478458,-0.036496096374608746,-0.00783498713300996,2220.0,0.16801801801801802,0.1727442694651243,-0.006228432361051915,-0.02123657429674557,0.008084325606367638
1.25,discovery,1872.0,0.7553418803418803,0.75,0.7558329236440352,0.7581247721221679,23.0,461.0,0.005341880341880342,-0.015078599007170436,0.027779294032023286,-0.0004910433021548706,-0.020203506161577428,0.021664539179504068,-0.0027828917802876136,-0.022756443678922114,0.019787727725985242,2356.0,0.7105263157894737,0.7306013900679117,-0.02007507427843803,-0.0381850082487612,-0.0032560940120150493,,,,,,
1.25,replication,626.0,0.7348242811501597,0.75,0.7530191821301058,0.7540934504792333,5.0,149.0,-0.015175718849840255,-0.049687499999999996,0.018568465548378956,-0.018194900979946,-0.05243894562371181,0.014887366642895564,-0.019269169329073483,-0.05228340010709574,0.014485425731298768,780.0,0.7,0.728505608974359,-0.028505608974358974,-0.056361803545939816,-8.250064546020524e-05,,,,,,
1.25,pooled,2498.0,0.7502001601281025,0.75,0.7551277986689672,0.7571145209818648,28.0,610.0,0.00020016012810248197,-0.017461513106871412,0.016867410185564154,-0.004927638540864738,-0.02267715193905048,0.01211936313111383,-0.006914360853762375,-0.024717081269901266,0.010419682811966481,3136.0,0.7079081632653061,0.7300801179846939,-0.022171954719387755,-0.0367405930666041,-0.007440136105117731,,,,,,
1.5,discovery,1664.0,0.8383413461538461,0.8333333333333334,0.8371415568041862,0.8379751352163461,15.0,423.0,0.005008012820512767,-0.012043700435184816,0.022010876899408862,0.001199789349659993,-0.015874217903482337,0.018411894787898037,0.0003662109375,-0.01601922158100688,0.017325081848719306,2102.0,0.796384395813511,0.8118532944814463,-0.015468898667935299,-0.03044267823158831,-0.000650601773648649,1674.0,0.17204301075268819,0.16645503415175106,0.0005197039874972473,-0.018421354937502587,0.0193531190930005
1.5,replication,553.0,0.8191681735985533,0.8333333333333331,0.8331880364694837,0.8342733717959757,4.0,132.0,-0.014165159734780037,-0.0462544137343237,0.01649214478473766,-0.014019862870930475,-0.045597039105945494,0.016318430761410447,-0.015105198197422428,-0.0478526362005453,0.014973526347108416,689.0,0.7924528301886793,0.8088488751814223,-0.016396044992743105,-0.0431491897299609,0.009181916065705087,546.0,0.15567765567765568,0.16537300322549423,-0.01659710868688781,-0.04494408794512383,0.01179430687493819
1.5,pooled,2217.0,0.8335588633288228,0.8333333333333333,0.8361554058140688,0.8370517815079722,19.0,555.0,0.00022552999548934962,-0.016162222626289593,0.014981439324863984,-0.002596542485245973,-0.018627900299897793,0.012434336269482413,-0.0034929181791495726,-0.019286549319973544,0.011297082513688253,2791.0,0.7954138301683984,0.8111116087423862,-0.015697778573987818,-0.027777722897270957,-0.002989283131889302,2220.0,0.16801801801801802,0.16618829393733955,-0.003699900251174278,-0.018618965407815633,0.01107233502275921
2.0,discovery,,,,,,,,,,,,,,,,,,,,,,,1674.0,0.17204301075268819,0.16738537933094386,0.004657631421744325,-0.01478567274741988,0.0228972866850891
2.0,replication,,,,,,,,,,,,,,,,,,,,,,,546.0,0.15567765567765568,0.16417696886446886,-0.008499313186813186,-0.03756893646198476,0.020768780493702444
2.0,pooled,,,,,,,,,,,,,,,,,,,,,,,2220.0,0.16801801801801802,0.16659628378378377,0.0014217342342342342,-0.01261963532851404,0.015782630690774183
