outcome,variable,variant,anchor,group,value,N,delta,lo,hi
B_res_N3,time_to_anchor_s,tod_stratified,0.25,mtf_state,S/S/S/S,445,-0.04260336256347455,-0.1470290166194405,0.06112589617749479
B_res_N3,time_to_anchor_s,tod_stratified,0.25,seg,0,1618,-0.016007078507078505,-0.07102242441916697,0.03762451274567365
B_res_N3,time_to_anchor_s,tod_stratified,0.25,seg,1,2273,-0.0664975743174889,-0.1144433022445003,-0.019590461965856083
B_res_N3,time_to_anchor_s,tod_stratified,0.25,seg,2,1271,-0.011427178834973167,-0.07610410890862007,0.051207091672531374
G_res_N3,ret30,plain,2.0,dir,-1,1074,0.1196663763598582,0.06037924007689488,0.17812187209484873
G_res_N3,ret30,plain,2.0,dir,1,1146,0.06243388068139502,0.010885563554646212,0.11838750309350606
G_res_N3,ret30,plain,2.0,mtf_state,L/L/L/L,309,0.1224353448275862,0.03135825601307821,0.2219128166307907
G_res_N3,ret30,plain,2.0,mtf_state,L/S/S/S,304,0.04585583714167013,-0.03738562297866274,0.13234279900616006
G_res_N3,ret30,plain,2.0,mtf_state,S/L/L/L,352,0.21772861788946346,0.12776636450764484,0.31165280355368125
G_res_N3,ret30,plain,2.0,mtf_state,S/L/L/S,159,0.23402549342105264,0.09635264155908292,0.35547192491778234
G_res_N3,ret30,plain,2.0,mtf_state,S/S/S/S,190,0.021996819561157795,-0.12232452700190392,0.1666858074565442
G_res_N3,ret30,plain,2.0,seg,0,687,0.09798007489273675,0.03298444255993739,0.16289067744379598
G_res_N3,ret30,plain,2.0,seg,1,972,0.09098992618128854,0.03635773581351355,0.14732286545091006
G_res_N3,ret30,plain,2.0,seg,2,561,0.10148954348559856,0.01826327242079042,0.18444002462724834
