outcome,anchor,variable,variant,block,n_used,delta,lo,hi,primary,meaningful
A_raw,1.0,time_to_anchor_s,tod_stratified,pooled,1904,0.02285061931330218,-0.0197694547231956,0.06375488519981379,True,False
A_raw,1.0,time_to_anchor_s,plain,pooled,1904,0.023460222884254645,-0.019392385169954764,0.0639872836880804,True,False
A_raw,1.0,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,1870,0.018515834458585883,-0.023700690045703857,0.05916804276562372,True,False
A_raw,1.0,pullback_from_mfe,plain,discovery,1420,-0.029577464788732355,-0.07570944857105283,0.013688622629099497,True,False
A_raw,1.0,pullback_from_mfe,plain,replication,521,-0.050918147787897494,-0.13398451302352654,0.03550196726425969,True,False
A_raw,1.0,pullback_from_mfe,plain,pooled,1941,-0.035438237367602876,-0.07549129435211056,0.005962957294217576,True,False
A_raw,1.0,mae_before,plain,discovery,1420,0.026760563380281654,-0.02156708502506681,0.07529955773608629,True,False
A_raw,1.0,mae_before,plain,replication,490,0.0020000000000000018,-0.07954210299565316,0.07208690912752004,True,False
A_raw,1.0,mae_before,plain,pooled,1910,0.02030701754385955,-0.021554137036637888,0.06105550866109932,True,False
A_raw,1.0,ret30,plain,discovery,1420,0.035211267605633756,-0.004615623897458193,0.0765236595902812,True,False
A_raw,1.0,ret30,plain,replication,474,-0.03714850497747224,-0.125623504025056,0.048055135546408764,True,False
A_raw,1.0,ret30,plain,pooled,1894,0.017276004607529313,-0.024356775337701655,0.05538002505534144,True,False
A_raw,1.0,ret15,plain,discovery,1420,0.05211267605633796,0.009312994149162646,0.09782795964521931,False,True
A_raw,1.0,ret15,plain,replication,475,-0.03742642365789661,-0.13193123124907427,0.057103888124687294,False,False
A_raw,1.0,ret15,plain,pooled,1895,0.029573803068546622,-0.011619755466773653,0.06964291311560006,False,False
A_raw,1.0,ret60,plain,discovery,1420,0.0028169014084507005,-0.04567176632971632,0.04737218456772041,False,False
A_raw,1.0,ret60,plain,replication,463,0.020443598073260905,-0.05710655866800087,0.09749447369309167,False,False
A_raw,1.0,ret60,plain,pooled,1883,0.007052184586503474,-0.031236151966938002,0.04785607725102889,False,False
A_raw,1.0,path_eff,plain,discovery,1420,-0.028169014084507,-0.08399783387355109,0.022618986744534678,False,False
A_raw,1.0,path_eff,plain,replication,464,0.003016591251885359,-0.0713331038707741,0.08381381431334503,False,False
A_raw,1.0,path_eff,plain,pooled,1884,-0.020402527830594375,-0.06175719742008507,0.020252648940005554,False,False
A_raw,1.0,n_cross,plain,discovery,1359,0.008877131099353286,-0.048406588644973575,0.06744900362200434,False,False
A_raw,1.0,n_cross,plain,replication,474,0.029535864978902926,-0.044287709943574366,0.09851313071664584,False,False
A_raw,1.0,n_cross,plain,pooled,1833,0.013930380336277692,-0.033094835788656816,0.05786074660031535,False,False
A_raw,1.0,rv60,plain,discovery,1420,0.047887323943661915,0.0024509215797138164,0.09368164261079792,False,False
A_raw,1.0,rv60,plain,replication,464,-0.034431471703725736,-0.10955826927911977,0.036993182829631426,False,False
A_raw,1.0,rv60,plain,pooled,1884,0.027683111543871042,-0.010358371050088442,0.06637364080189855,False,False
A_raw,1.0,accel,plain,discovery,1420,0.032394366197183055,-0.014552208406901329,0.07975208986879534,False,False
A_raw,1.0,accel,plain,replication,487,-0.06162464985994398,-0.15095738018015506,0.033428596394664035,False,False
A_raw,1.0,accel,plain,pooled,1907,0.008689607229753205,-0.030729197023721122,0.05025458164695161,False,False
A_raw,1.0,fav_share,plain,discovery,1417,-0.005665677231707078,-0.05351080932807463,0.043147689868697346,False,False
A_raw,1.0,fav_share,plain,replication,495,0.0035174399581179294,-0.0657696524453301,0.08507477295609811,False,False
A_raw,1.0,fav_share,plain,pooled,1912,-0.003027029866475739,-0.042884602060483154,0.03944319700190745,False,False
A_raw,1.0,tod_min,plain,discovery,1421,-0.00646587586469205,-0.05192809357174828,0.03889271677752926,False,False
A_raw,1.0,tod_min,plain,replication,453,0.028443230589153434,-0.055176405005450346,0.11733015546983076,False,False
A_raw,1.0,tod_min,plain,pooled,1874,0.0022645257709411615,-0.037971407224112165,0.04006514509056487,False,False
A_raw,1.25,time_to_anchor_s,tod_stratified,discovery,1247,0.046612814299292676,-0.0071755633461057025,0.09485189999877211,True,False
A_raw,1.25,time_to_anchor_s,plain,discovery,1247,0.04614838480653183,-0.008714435841752424,0.09406713670765895,True,False
A_raw,1.25,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,1219,0.043053048778943184,-0.012107780720343617,0.09035556764941939,True,False
A_raw,1.25,time_to_anchor_s,tod_stratified,replication,410,-0.005501217250958575,-0.09848625937531719,0.09062813029866935,True,False
A_raw,1.25,time_to_anchor_s,plain,replication,410,0.004192872117400381,-0.08732290529082007,0.09207605169928251,True,False
A_raw,1.25,time_to_anchor_s,tod_stratified_excl_last_hour,replication,407,-0.0045736032425098775,-0.09849487074724043,0.09237218295169393,True,False
A_raw,1.25,time_to_anchor_s,tod_stratified,pooled,1657,0.034486673492743265,-0.010331612115106024,0.08055447209026569,True,False
A_raw,1.25,time_to_anchor_s,plain,pooled,1657,0.03533695031410622,-0.009473023818344861,0.08106834970207419,True,False
A_raw,1.25,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,1626,0.031964632110262084,-0.014090429541538793,0.07730965677815983,True,False
A_raw,1.25,pullback_from_mfe,plain,discovery,1248,-0.03685897435897434,-0.08722093611646223,0.01551315110466467,True,False
A_raw,1.25,pullback_from_mfe,plain,replication,435,-0.030446005416384647,-0.11748319457292627,0.045771062686745016,True,False
A_raw,1.25,pullback_from_mfe,plain,pooled,1683,-0.0349197830753587,-0.07686551228737225,0.010194230942107141,True,False
A_raw,1.25,mae_before,plain,discovery,1248,0.03525641025641024,-0.015317036410748476,0.08417502802917397,True,False
A_raw,1.25,mae_before,plain,replication,427,-0.010136024572180768,-0.09815094716545723,0.07583747595721417,True,False
A_raw,1.25,mae_before,plain,pooled,1675,0.02362119406219521,-0.021964001080868868,0.06544063115919493,True,False
A_raw,1.25,ret30,plain,discovery,1248,0.008012820512820484,-0.039379781707283124,0.05196286500233774,True,False
A_raw,1.25,ret30,plain,replication,402,0.04568502684430298,-0.0539864703488208,0.1376430957093376,True,False
A_raw,1.25,ret30,plain,pooled,1650,0.01764698966575362,-0.02184279187295429,0.05988736832179023,True,False
A_raw,1.25,ret15,plain,discovery,1248,0.009615384615384581,-0.03873762774596283,0.0584770861145707,False,False
A_raw,1.25,ret15,plain,replication,418,-0.024147200593251705,-0.1233725784453596,0.0690819644212883,False,False
A_raw,1.25,ret15,plain,pooled,1666,0.002223952924887529,-0.04187578187635333,0.04590574741676999,False,False
A_raw,1.25,ret60,plain,discovery,1248,0.0016025641025640969,-0.037008261637636285,0.04245736856973702,False,False
A_raw,1.25,ret60,plain,replication,426,-0.08107389686337063,-0.15018742426381926,-0.0032777866048196392,False,True
A_raw,1.25,ret60,plain,pooled,1674,-0.019901648332819266,-0.0558468824548373,0.01647171627938094,False,False
A_raw,1.25,path_eff,plain,discovery,1248,-0.024038461538461564,-0.07070753805836169,0.02676846128991524,False,False
A_raw,1.25,path_eff,plain,replication,414,-0.002388479100807861,-0.08764691930143667,0.08416960295909313,False,False
A_raw,1.25,path_eff,plain,pooled,1662,-0.01811513911158036,-0.061947549064993244,0.026260583429644987,False,False
A_raw,1.25,n_cross,plain,discovery,1333,0.015391014975041584,-0.03971570439091131,0.06844054067040162,False,False
A_raw,1.25,n_cross,plain,replication,461,0.007228371357578478,-0.07929767594201723,0.09202856000987615,False,False
A_raw,1.25,n_cross,plain,pooled,1794,0.012461483652818406,-0.029121451461435677,0.056389464017324295,False,False
A_raw,1.25,rv60,plain,discovery,1248,0.038461538461538436,-0.004778428269373428,0.0825249766338995,False,False
A_raw,1.25,rv60,plain,replication,390,-0.01717032967032961,-0.12098040721202481,0.09254442202786865,False,False
A_raw,1.25,rv60,plain,pooled,1638,0.025201612903225756,-0.015796800097654787,0.06546994181875204,False,False
A_raw,1.25,accel,plain,discovery,1248,0.01602564102564097,-0.03530363437900964,0.06596915181483312,False,False
A_raw,1.25,accel,plain,replication,424,-0.043115942028985506,-0.13124243092306798,0.05035401457942069,False,False
A_raw,1.25,accel,plain,pooled,1672,0.002750275027502691,-0.04540106048097337,0.04606622047246583,False,False
A_raw,1.25,fav_share,plain,discovery,1249,-0.022066779829640115,-0.07222843185096342,0.027587010692023777,False,False
A_raw,1.25,fav_share,plain,replication,433,-0.00010674181290293294,-0.0893541930046354,0.08948051772630149,False,False
A_raw,1.25,fav_share,plain,pooled,1682,-0.016286027781548307,-0.06163863388487385,0.03122897139465375,False,False
A_raw,1.25,tod_min,plain,discovery,1247,0.00224571693162523,-0.04385499731784044,0.04693447565467623,False,False
A_raw,1.25,tod_min,plain,replication,409,0.04100244147637511,-0.037385859720363845,0.12491684616249174,False,False
A_raw,1.25,tod_min,plain,pooled,1656,0.012297880038046105,-0.025473286500850942,0.05303411034000902,False,False
A_raw,1.5,time_to_anchor_s,tod_stratified,discovery,1113,0.02037063263153408,-0.019197575912339043,0.05925073940359266,True,False
A_raw,1.5,time_to_anchor_s,plain,discovery,1113,0.018386365544454608,-0.02211023359636337,0.05701182112017555,True,False
A_raw,1.5,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,1088,0.0192055167896547,-0.02033721339609431,0.05879369942491934,True,False
A_raw,1.5,time_to_anchor_s,tod_stratified,replication,364,-0.01660006660006652,-0.10343084992410473,0.08404529032890831,True,False
A_raw,1.5,time_to_anchor_s,plain,replication,364,-0.008583172147001994,-0.09349995232646832,0.08165668730700709,True,False
A_raw,1.5,time_to_anchor_s,tod_stratified_excl_last_hour,replication,361,-0.014324087731289877,-0.1037496625400238,0.08861469775053427,True,False
A_raw,1.5,time_to_anchor_s,tod_stratified,pooled,1477,0.011672925388431734,-0.025145496127973427,0.04506148314353092,True,False
A_raw,1.5,time_to_anchor_s,plain,pooled,1477,0.011051212938005373,-0.025219470275366668,0.04477586002677072,True,False
A_raw,1.5,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,1449,0.011207844173556091,-0.027363526379669264,0.0457826466376405,True,False
A_raw,1.5,pullback_from_mfe,plain,discovery,1110,-0.003603603603603678,-0.04811132233086021,0.042002851092645524,True,False
