elapsed_s,subset,contrast,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
285,ALIVE,C2,fav_share,1847,353,0.7894736842105263,"[0.5812959650168952, 0.917214271316267]",0.7654320987654322,"[0.5625, 0.9054054054054055]",0.7228272460296439,0.7049308949227794,0.07430666155053342,0.5239635209688477,0.4957315867841203,0.5568308211400158,False
285,ALIVE,C2,mfe_rate,1847,353,0.34240640551161006,"[0.20839774322483268, 0.48005022058781555]",0.42444821463917637,"[0.23119670231165057, 0.5108780820121774]",0.37794989708432436,0.38931219556881164,-0.04654448959098529,0.4518996427864802,0.42004294068605985,0.48899123847210313,False
285,ALIVE,C2,mae_rate,1847,353,0.09509073458033612,"[0.04091229521493289, 0.17152550954317158]",0.11832110359566657,"[0.04877908096988414, 0.22733128906540134]",0.12067642619218993,0.15488430862043331,-0.2929783599194069,0.44218095035054167,0.4087773126529544,0.4708981219638851,False
285,ALIVE,C2,d_mfe,1847,353,0.21389314415958705,"[0.0, 0.7110365471213917]",0.14658068487655584,"[0.0, 0.6416288859324206]",0.447238231640414,0.38907778339868837,0.09774630595907681,0.5365189090033451,0.5064358710266341,0.5670444845777778,False
285,ALIVE,C2,d_mae,1847,353,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.039649532605318734,0.06394353184911436,-0.15823224197008437,0.48319148577204285,0.4634708889524143,0.5018432654271882,False
285,ALIVE,C2,fav_expand_adv_stall,1847,353,1.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.6090958310774228,0.5269121813031161,0.16771828222209326,0.5410918248871533,0.5128235656987712,0.5705751559092271,False
285,ALIVE,C2,adv_expand_fav_stall,1847,353,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.10341093665403357,0.141643059490085,-0.12248040989184522,0.4808839385819743,0.4616451482667487,0.49741621775525086,False
285,ALIVE,C2,aligned_5m,1764,349,1.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.536281179138322,0.5558739255014327,-0.03929403300048296,0.49020362681844465,0.4625990400581882,0.5171167773523709,False
285,ALIVE,C2,aligned_15m,1764,351,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47959183673469385,0.4700854700854701,0.01902261711992805,0.5047531833246119,0.47584110886516245,0.5345379264909862,False
285,ALIVE,C2,aligned_1h,1765,351,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5048158640226629,0.4757834757834758,0.058050870940082204,0.5145161941195936,0.485562174996762,0.5418853235928234,False
285,ALIVE,C2,trans_5m,1764,349,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.1292517006802721,0.10888252148997135,0.06139119014422852,0.5101845895951503,0.492154481480841,0.5278358294233366,False
285,ALIVE,C2,n_htf_aligned,1763,349,1.0,"[1.0, 3.0]",1.0,"[1.0, 3.0]",1.5218377765173001,1.498567335243553,0.02079929486082078,0.5058200482051466,0.47402721122738223,0.5362138724387139,False
285,ALIVE,C3,mfe,1434,2872,1.7178831111533979,"[1.0465984371469437, 2.5274501004774352]",0.9383027368796639,"[0.5176679350118513, 1.4497345121083076]",1.9475574502958297,1.023536361028641,1.0013253103615616,0.7387717411995975,0.7235759716061877,0.753779028966753,True
