regime_start_ns,elapsed_s,alive,mfe,mae,cur,fav_share,mfe_rate,mae_rate,d_mfe,d_mae,fav_expand_adv_stall,adv_expand_fav_stall,aligned_5m,trans_5m,s_since_trans_5m,aligned_15m,trans_15m,s_since_trans_15m,aligned_1h,trans_1h,s_since_trans_1h,n_htf_aligned
1681932000000000000,120,1,0.6954877269570007,0.24838847391321456,0.3974215582611433,0.7368421052631579,0.34774386347850034,0.12419423695660728,0.049677694782642834,0.14903308434792872,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1681932000000000000,180,0,0.6954877269570007,1.0432315904355012,-0.8445208113049294,0.39999999999999997,0.23182924231900023,0.3477438634785004,0.0,0.7948431165222867,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1681932000000000000,285,0,0.6954877269570007,1.1425869800007868,-0.7948431165222866,0.37837837837837834,0.14641846883305276,0.2405446273685867,0.0,0.09935538956528567,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1681932180000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932180000000000,30,1,0.09748804938244734,0.3899521975297894,0.09748804938244734,0.19999999999999998,0.1949760987648947,0.7799043950595788,0.09748804938244734,0.3899521975297894,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932180000000000,60,1,0.24372012345611838,0.3899521975297894,-0.04874402469122367,0.38461538461538464,0.24372012345611838,0.3899521975297894,0.14623207407367103,0.0,1,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932180000000000,120,1,0.24372012345611838,0.48744024691223675,-0.34120817283856575,0.3333333333333333,0.12186006172805919,0.24372012345611838,0.0,0.09748804938244737,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932180000000000,180,1,0.24372012345611838,1.4135767160454866,-1.3160886666630391,0.14705882352941177,0.08124004115203946,0.47119223868182886,0.0,0.9261364691332499,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932180000000000,285,1,0.24372012345611838,1.7060408641928286,-1.1211125678981446,0.125,0.05130949967497229,0.359166497724806,0.0,0.292464148147342,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1681932840000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
