event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_0p5,reach_plus3,mae_through_touch,1440,3079,0.3034655169598573,"[0.10780414146748221, 0.6648536788943611]",0.31119301681919015,"[0.11000229410586315, 0.6885490908819968]",0.46697307081243833,0.46752194083548376,-0.0011118682288371571,0.4941157166829057,0.4771518993840986,0.5105605290325335,False
fav_0p5,reach_plus3,adv0p5_before,1440,3079,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.34444444444444444,0.3510880155894771,-0.013935411083982847,0.49667821442748367,0.48255115067170196,0.510640940766725,False
fav_0p5,reach_plus3,adv1_before,1440,3079,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.13680555555555557,0.13283533614810003,0.01164865781606436,0.5019851097037278,0.4918413141023109,0.5119201031407391,False
fav_0p5,reach_plus3,aligned_5m,1385,2975,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.42888086642599277,0.4117647058823529,0.034708132376891666,0.5085580802718199,0.49377132351304226,0.5235806726175537,False
fav_0p5,reach_plus3,aligned_15m,1386,2977,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47186147186147187,0.4638898219684246,0.015976152242245863,0.5039858249465237,0.48720325108123946,0.5209885804689296,False
fav_0p5,reach_plus3,aligned_1h,1387,2977,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5025234318673396,0.4884111521666107,0.028223377269958133,0.5070561398503645,0.4898931017217046,0.5236352139863693,False
fav_0p5,reach_plus3,trans_5m,1385,2975,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.010108303249097473,0.0033613445378151263,0.09125073952271666,0.5033734793556411,0.5008258231563347,0.5063846774323926,False
fav_0p5,win,t_since_t0_s,2002,2517,54.0,"[22.0, 128.0]",55.0,"[22.0, 135.0]",108.32167832167832,105.59753675009932,0.019315951252457556,0.49773438718611546,0.48047027218209204,0.5150839866147003,False
fav_0p5,win,s_from_prev_level,2002,2517,54.0,"[22.0, 128.0]",55.0,"[22.0, 135.0]",108.32167832167832,105.59753675009932,0.019315951252457556,0.49773438718611546,0.48047027218209204,0.5150839866147003,False
fav_0p5,win,mae_through_touch,2002,2517,0.30854909667323893,"[0.10938174401608997, 0.6535131368347018]",0.30621672948559214,"[0.10953862273141098, 0.7002217798390457]",0.46055560029115766,0.4727488939290696,-0.024702305621880933,0.4928380122063078,0.47696601624859497,0.509171784873477,False
fav_0p5,win,adv0p5_before,2002,2517,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.34265734265734266,0.3539928486293206,-0.023778269879232483,0.494332247014011,0.47964627839691965,0.5083270962162675,False
fav_0p5,win,adv1_before,2002,2517,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.12787212787212787,0.1390544298768375,-0.03281284640234919,0.4944088489976452,0.4846272791478297,0.5044282874142848,False
fav_0p5,win,aligned_5m,1878,2482,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.41959531416400425,0.4153908138597905,0.008524843893977632,0.5021022501521069,0.486614581684945,0.516942916612424,False
fav_0p5,win,aligned_15m,1878,2485,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47071352502662406,0.4631790744466801,0.015099956186641596,0.503767225289972,0.48688638552636615,0.5191121567610149,False
fav_0p5,win,aligned_1h,1879,2485,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5093134646088345,0.48048289738430583,0.057677256850610335,0.5144152836122643,0.4995035308979007,0.5293149131537103,False
fav_0p5,win,trans_5m,1878,2482,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.008519701810436636,0.0032232070910556,0.07161403890563309,0.5026482473596905,0.5004969992385916,0.5050106536551696,False
fav_0p5,win_given_plus2 (C2),t_since_t0_s,1847,373,53.0,"[21.0, 123.0]",46.0,"[17.0, 111.0]",103.47374120194911,91.84718498659518,0.0853504961867527,0.5342654053889286,0.49401293071258445,0.5746802062983583,False
fav_0p5,win_given_plus2 (C2),s_from_prev_level,1847,373,53.0,"[21.0, 123.0]",46.0,"[17.0, 111.0]",103.47374120194911,91.84718498659518,0.0853504961867527,0.5342654053889286,0.49401293071258445,0.5746802062983583,False
