regime_start_ns,event,t_since_t0_s,mae_through_touch,adv0p5_before,adv1_before,s_from_prev_level,aligned_5m,trans_5m,aligned_15m,trans_15m,aligned_1h,trans_1h
1672930320000000000,fav_2p0,323.0,0.37505622256810994,0,0,149.0,0.0,0.0,0.0,0.0,0.0,0.0
1672931880000000000,fav_0p5,338.0,0.689528310226913,1,0,338.0,1.0,0.0,1.0,0.0,1.0,0.0
1672931880000000000,fav_1p0,372.0,0.689528310226913,1,0,34.0,1.0,0.0,1.0,0.0,1.0,0.0
1672932780000000000,fav_0p5,36.0,0.23545356398625364,0,0,36.0,1.0,0.0,1.0,0.0,1.0,0.0
1672932780000000000,fav_1p0,138.0,0.23545356398625364,0,0,102.0,1.0,0.0,1.0,0.0,1.0,0.0
1672932780000000000,fav_1p5,239.0,0.23545356398625364,0,0,101.0,1.0,0.0,1.0,0.0,1.0,0.0
1672933740000000000,fav_0p5,190.0,0.5231818782680641,1,0,190.0,1.0,0.0,1.0,0.0,1.0,0.0
1672933740000000000,fav_1p0,247.0,0.5231818782680641,1,0,57.0,1.0,0.0,1.0,0.0,1.0,0.0
1672933740000000000,fav_1p5,299.0,0.5231818782680641,1,0,52.0,1.0,0.0,1.0,0.0,1.0,0.0
1672933740000000000,fav_2p0,753.0,0.5231818782680641,1,0,454.0,1.0,0.0,1.0,0.0,1.0,0.0
1672934760000000000,fav_0p5,49.0,0.5040750286966523,1,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
1672934760000000000,fav_1p0,289.0,0.5040750286966523,1,0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
1672934760000000000,fav_1p5,421.0,0.5040750286966523,1,0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
1672934760000000000,fav_2p0,435.0,0.5040750286966523,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
1672935720000000000,fav_0p5,16.0,0.05297252402596358,0,0,16.0,1.0,0.0,1.0,0.0,1.0,0.0
1672935720000000000,fav_1p0,63.0,0.05297252402596358,0,0,47.0,1.0,0.0,1.0,0.0,1.0,0.0
1672935720000000000,fav_1p5,148.0,0.05297252402596358,0,0,85.0,1.0,0.0,1.0,0.0,1.0,0.0
1672936320000000000,fav_0p5,42.0,0.10716857296961257,0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
1672936320000000000,fav_1p0,239.0,0.4822585783632566,0,0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
1672936320000000000,fav_1p5,588.0,0.4822585783632566,0,0,349.0,0.0,0.0,0.0,0.0,0.0,0.0
1672936320000000000,fav_2p0,595.0,0.4822585783632566,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1672937640000000000,fav_0p5,29.0,0.11861069791705822,0,0,29.0,0.0,0.0,1.0,0.0,1.0,0.0
1672937640000000000,fav_1p0,192.0,0.32617941927191013,0,0,163.0,0.0,0.0,1.0,0.0,1.0,0.0
1672937640000000000,fav_1p5,204.0,0.32617941927191013,0,0,12.0,0.0,0.0,1.0,0.0,1.0,0.0
1672937640000000000,fav_2p0,252.0,0.32617941927191013,0,0,48.0,0.0,0.0,1.0,0.0,1.0,0.0
1672939500000000000,fav_0p5,546.0,1.378133524686545,1,1,546.0,0.0,0.0,0.0,0.0,0.0,0.0
1672939500000000000,fav_1p0,549.0,1.378133524686545,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1672939500000000000,fav_1p5,560.0,1.378133524686545,1,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1672940340000000000,fav_0p5,227.0,0.6927584201209125,1,0,227.0,1.0,0.0,1.0,0.0,1.0,0.0
