anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
1.0,pooled,price_to_trig,giveback,0.28170294650258076,0.39756303699840645,0.15554981468831314
1.0,pooled,price_to_trig,add_mfe,0.08993870931490702,0.21961193249912134,0.02946064743912429
1.0,pooled,mfe_to_trig,final_pnl,-0.03759275070166058,0.04566764646851205,-0.047297102014723195
1.0,pooled,mfe_to_trig,giveback,0.2980731188590199,0.3985768967657862,0.17132872807375207
1.0,pooled,mfe_to_trig,add_mfe,0.08283476442977467,0.1786106539352705,0.035151964499554614
1.0,pooled,catchup1,final_pnl,-0.0042703751635449995,-0.006104564020556106,-0.006113861562723903
1.0,pooled,catchup1,giveback,0.03783965950175599,0.09127109800342854,0.005348522422153875
1.0,pooled,catchup1,add_mfe,0.024140510468132165,0.04809449298562326,0.005764374760024938
1.5,discovery,trig_pos,final_pnl,0.061897960761034584,-0.02996373665759,0.06786032629150497
1.5,discovery,trig_pos,giveback,-0.327675322933718,-0.4473859217375787,-0.1970113471127535
1.5,discovery,trig_pos,add_mfe,-0.08725836191711168,-0.25716974283990696,-0.01648875677642606
1.5,discovery,price_to_trig,final_pnl,-0.048125354370909035,0.10770844830433657,-0.07112541885252502
1.5,discovery,price_to_trig,giveback,0.3301945871663371,0.45688239338585773,0.19582469192595914
1.5,discovery,price_to_trig,add_mfe,0.09150461462284236,0.28919425374403473,0.010001298838432579
1.5,discovery,mfe_to_trig,final_pnl,-0.06222415997975938,0.07866146486210362,-0.07963156277745591
1.5,discovery,mfe_to_trig,giveback,0.344906016995128,0.4655167485803447,0.20853459046927286
1.5,discovery,mfe_to_trig,add_mfe,0.07840286233825208,0.25102831320294194,0.010389702882760756
1.5,discovery,catchup1,final_pnl,0.023589545933037134,0.06621383414444297,0.014936067007258792
1.5,discovery,catchup1,giveback,0.062020422478925155,0.12249610588955187,0.026996327329846994
1.5,discovery,catchup1,add_mfe,0.05725628026271929,0.1247558324226146,0.01931141644652161
1.5,replication,trig_pos,final_pnl,0.011556502613166026,0.023081472393718418,0.0035708834919968707
1.5,replication,trig_pos,giveback,-0.3217701318274605,-0.4624740432126394,-0.16648180786914402
1.5,replication,trig_pos,add_mfe,-0.11763342781474266,-0.24233535508885104,-0.05184317037484903
1.5,replication,price_to_trig,final_pnl,-0.009381450564722019,0.030022445742059603,-0.010787053818417687
1.5,replication,price_to_trig,giveback,0.32693533072799336,0.46048092882373737,0.1724052751529524
