anchor,block,excl_last_hour,outcome,kind,slow_minus_fast,lo,hi
2.0,discovery,True,add_mfe,real,-0.4050854456573045,-0.7722808841506332,-0.04716296987007488
2.0,discovery,True,add_mfe,null,-0.2565547527637952,-0.302156822287473,-0.21287231738655724
2.0,discovery,True,add_mfe,res,-0.14853069289350962,-0.5163715302076688,0.21281649276857653
2.0,replication,False,final_pnl,real,0.0032035501620863724,-0.5280044924423681,0.5231091582633546
2.0,replication,False,final_pnl,null,0.030686331322439392,-0.04368083961718815,0.11055534627747218
2.0,replication,False,final_pnl,res,-0.027482781160353555,-0.5719090385764832,0.4905830652417266
2.0,replication,False,giveback,real,-0.8053663831544382,-1.0546510588332552,-0.572435907066009
2.0,replication,False,giveback,null,-0.26260243049477605,-0.32565029379755206,-0.19413688038426508
2.0,replication,False,giveback,res,-0.5427639526596617,-0.7903922634015941,-0.32358963869397345
2.0,replication,False,add_mfe,real,-0.7950023478603135,-1.3155910811642066,-0.3064204846603681
2.0,replication,False,add_mfe,null,-0.2247556140402978,-0.3074383704038345,-0.13715979052705554
2.0,replication,False,add_mfe,res,-0.5702467338200155,-1.0879193479612494,-0.0924227886032523
2.0,replication,True,final_pnl,real,0.0022641707009704104,-0.5399636955893942,0.5307608818671304
2.0,replication,True,final_pnl,null,0.04137567378838723,-0.033161621667233715,0.11999576975662579
2.0,replication,True,final_pnl,res,-0.03911150308741745,-0.5883067115125178,0.48654956906087216
2.0,replication,True,giveback,real,-0.7854617999489224,-1.0420760150683734,-0.5538111696546164
2.0,replication,True,giveback,null,-0.261854582019826,-0.32391381261724084,-0.1936872983295249
2.0,replication,True,giveback,res,-0.5236072179290959,-0.7846373261664327,-0.30112667702666024
2.0,replication,True,add_mfe,real,-0.777734024162751,-1.3074453607632834,-0.27417745306011
2.0,replication,True,add_mfe,null,-0.21501530314623726,-0.2980098857224675,-0.12766609390586206
2.0,replication,True,add_mfe,res,-0.5627187210165135,-1.0823855763679253,-0.07590592538207494
2.0,pooled,False,final_pnl,real,0.14947694823318824,-0.1509874767222063,0.45882478178317243
2.0,pooled,False,final_pnl,null,-0.027190480037605064,-0.06008380233010819,0.009097016846898759
2.0,pooled,False,final_pnl,res,0.1766674282707936,-0.12781704952939188,0.48758870884165867
2.0,pooled,False,giveback,real,-0.7100649657968994,-0.8422982157838699,-0.5956899053908572
2.0,pooled,False,giveback,null,-0.2580799972494333,-0.28930955801733216,-0.22657636447929658
2.0,pooled,False,giveback,res,-0.4519849685474655,-0.5820613748757454,-0.3410659284319685
2.0,pooled,False,add_mfe,real,-0.5314749002613215,-0.8169094193006007,-0.2512953456613392
2.0,pooled,False,add_mfe,null,-0.2561573599846495,-0.29543758585192964,-0.2155585807035582
2.0,pooled,False,add_mfe,res,-0.27531754027667193,-0.5596817125108602,0.021332319015790694
2.0,pooled,True,final_pnl,real,0.14924216849582683,-0.15736059164908842,0.46522508627262193
2.0,pooled,True,final_pnl,null,-0.022591766790611756,-0.055801590161125084,0.015322944093939903
2.0,pooled,True,final_pnl,res,0.17183393528643873,-0.14077288517632902,0.49609873847619224
2.0,pooled,True,giveback,real,-0.6705159491834808,-0.7935382416809786,-0.5568323977016456
2.0,pooled,True,giveback,null,-0.24794040140742982,-0.27526200793497413,-0.21912868318096426
2.0,pooled,True,giveback,res,-0.4225755477760503,-0.5489370466568958,-0.31533306008847667
2.0,pooled,True,add_mfe,real,-0.4970775376339136,-0.7915203787889865,-0.2135581990863097
2.0,pooled,True,add_mfe,null,-0.24633592514430191,-0.28555091681908645,-0.2067429510979554
2.0,pooled,True,add_mfe,res,-0.25074161248961163,-0.5443943567456863,0.045545777820708136
3.0,discovery,False,final_pnl,real,0.15996679021084417,-0.2619100688441586,0.5861998624888888
